                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.2552,                 4.2707,                 2.2891,                0.48428,                0.02021,                 0.0259,                0.01485,                 2.2471,                  4.356,                 2.2931,             5.7158e-05,             5.7158e-05,             5.7158e-05
                     34,                  2.262,                 4.2588,                 2.2835,                0.39986,                0.02323,                0.02193,                0.01288,                 2.2341,                 4.5039,                 2.3341,              5.407e-05,              5.407e-05,              5.407e-05
                     35,                 2.1902,                 4.2053,                 2.2355,                0.39775,                0.02659,                0.04944,                0.03603,                 2.2009,                 4.3401,                 2.2688,             5.0981e-05,             5.0981e-05,             5.0981e-05
                     36,                 2.1792,                 4.1914,                 2.2483,                0.36929,                0.01777,                 0.0259,                0.01569,                 2.2034,                 4.2961,                 2.2527,             4.7892e-05,             4.7892e-05,             4.7892e-05
                     37,                 2.2181,                 4.1877,                 2.2506,                0.36918,                0.02661,                0.02789,                0.01538,                 2.2229,                 4.3318,                 2.2879,             4.4803e-05,             4.4803e-05,             4.4803e-05
                     38,                 2.1759,                  4.162,                 2.2104,                0.31652,                0.01951,                0.02465,                0.01436,                 2.2065,                 4.3098,                 2.2754,             4.1714e-05,             4.1714e-05,             4.1714e-05
                     39,                 2.1837,                 4.1033,                 2.2244,                0.36718,                0.02064,                0.02522,                0.01492,                  2.184,                  4.296,                 2.2399,             3.8626e-05,             3.8626e-05,             3.8626e-05
                     40,                 2.1672,                 4.1164,                 2.2164,                0.31152,                0.01953,                0.04993,                0.03428,                 2.1945,                 4.2914,                 2.2418,             3.5537e-05,             3.5537e-05,             3.5537e-05
                     41,                 2.0764,                 4.3936,                 2.1637,                0.37292,                0.02063,                0.03398,                0.02144,                  2.137,                 4.2921,                 2.1676,             3.2448e-05,             3.2448e-05,             3.2448e-05
                     42,                 2.0399,                 4.3368,                 2.1135,                0.39508,                0.01517,                0.02383,                0.01452,                  2.136,                 4.2698,                 2.1837,             2.9359e-05,             2.9359e-05,             2.9359e-05
                     43,                 2.0552,                 4.3477,                 2.1291,                0.39914,                 0.0152,                0.02119,                0.01261,                 2.1492,                 4.2797,                   2.19,              2.627e-05,              2.627e-05,              2.627e-05
                     44,                 2.0267,                 4.3505,                 2.1151,                0.40071,                0.01609,                 0.0248,                0.01492,                 2.1629,                 4.2513,                 2.1792,             2.3182e-05,             2.3182e-05,             2.3182e-05
                     45,                   2.05,                 4.3209,                 2.1199,                0.45501,                0.01558,                 0.0218,                0.01239,                 2.1651,                 4.2435,                 2.1855,             2.0093e-05,             2.0093e-05,             2.0093e-05
                     46,                 2.0139,                 4.2898,                 2.0865,                0.40084,                0.01973,                0.02146,                0.01274,                 2.1391,                  4.233,                 2.1668,             1.7004e-05,             1.7004e-05,             1.7004e-05
                     47,                 2.0049,                 4.2715,                 2.0965,                0.45452,                 0.0164,                0.02168,                0.01274,                 2.1412,                   4.24,                 2.1747,             1.3915e-05,             1.3915e-05,             1.3915e-05
                     48,                  2.003,                  4.249,                 2.0902,                0.42485,                0.01986,                0.02422,                0.01462,                 2.1443,                 4.2118,                  2.171,             1.0826e-05,             1.0826e-05,             1.0826e-05
                     49,                 2.0255,                 4.2938,                 2.1055,                0.39914,                0.01878,                0.02351,                0.01399,                 2.1465,                  4.211,                 2.1703,             7.7376e-06,             7.7376e-06,             7.7376e-06
                     50,                  2.024,                 4.2885,                 2.0866,                 0.4278,                 0.0203,                0.02384,                0.01488,                 2.1362,                   4.21,                 2.1691,             4.6488e-06,             4.6488e-06,             4.6488e-06
