                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93518,                 1.2504,                 1.0529,                 0.5583,                0.22024,                0.21118,                0.15081,                 1.2355,                 1.9272,                  1.223,             0.00062705,             0.00062705,             0.00062705
                     35,                0.94886,                 1.1958,                 1.0319,                0.32927,                0.28053,                0.21154,                 0.1529,                 1.2968,                 2.0726,                 1.2615,             0.00061238,             0.00061238,             0.00061238
                     36,                0.91359,                 1.1631,                  1.022,                 0.2529,                0.21637,                0.19983,                0.15208,                 1.2087,                 2.0214,                  1.219,             0.00059772,             0.00059772,             0.00059772
                     37,                0.92087,                 1.1759,                 1.0369,                0.53501,                0.20633,                0.18757,                0.13342,                 1.2155,                 2.1483,                 1.2212,             0.00058305,             0.00058305,             0.00058305
                     38,                 0.9337,                 1.1595,                 1.0275,                0.58916,                0.19287,                0.20225,                0.14554,                 1.2483,                 1.9989,                 1.2377,             0.00056839,             0.00056839,             0.00056839
                     39,                0.87349,                 1.1035,                 1.0112,                0.17424,                0.25819,                0.16125,                0.11471,                 1.2833,                 2.1748,                  1.268,             0.00055372,             0.00055372,             0.00055372
                     40,                0.88166,                 1.0673,                 1.0128,                0.29348,                0.23678,                0.20172,                0.14234,                 1.2479,                 1.9692,                 1.2408,             0.00053906,             0.00053906,             0.00053906
                     41,                0.87486,                 1.0422,                 1.0174,                0.45334,                0.23118,                0.22902,                0.17119,                 1.2337,                 1.9437,                 1.2439,             0.00052439,             0.00052439,             0.00052439
                     42,                0.87528,                 1.0451,                 1.0122,                0.28861,                0.27609,                0.20483,                0.15026,                 1.2106,                  2.077,                 1.2172,             0.00050973,             0.00050973,             0.00050973
                     43,                0.88437,                 1.0654,                 1.0108,                0.52633,                0.23617,                0.20752,                0.14371,                 1.2119,                 2.0212,                 1.2293,             0.00049506,             0.00049506,             0.00049506
                     44,                0.85336,                0.96473,                0.98452,                0.35531,                 0.2286,                0.22486,                0.15745,                 1.2357,                  1.937,                 1.2361,              0.0004804,              0.0004804,              0.0004804
                     45,                0.85546,                0.98459,                  1.003,                0.33602,                0.21623,                0.21618,                0.16646,                 1.1476,                 2.0044,                 1.1766,             0.00046573,             0.00046573,             0.00046573
                     46,                0.83485,                0.93509,                0.98889,                0.34125,                 0.2319,                0.20065,                0.15095,                  1.211,                  2.132,                 1.2208,             0.00045107,             0.00045107,             0.00045107
                     47,                0.86267,                0.94902,                0.99435,                0.32611,                0.23489,                0.21965,                0.16193,                 1.2467,                 1.9419,                 1.2427,              0.0004364,              0.0004364,              0.0004364
                     48,                0.84232,                0.94354,                  0.987,                0.57453,                0.23641,                0.22095,                0.15886,                 1.2027,                 1.9143,                 1.2136,             0.00042174,             0.00042174,             0.00042174
                     49,                0.82593,                0.90006,                0.98168,                0.32579,                0.22483,                 0.2056,                0.14599,                  1.205,                 2.0994,                 1.2341,             0.00040707,             0.00040707,             0.00040707
                     50,                0.82175,                0.88485,                0.98281,                 0.6237,                 0.1838,                0.20903,                0.15491,                 1.2126,                 2.0789,                 1.2199,             0.00039241,             0.00039241,             0.00039241
                     51,                0.82789,                0.86758,                0.98795,                 0.5824,                 0.2012,                0.19582,                0.14359,                 1.2243,                 2.0259,                 1.2281,             0.00037774,             0.00037774,             0.00037774
                     52,                0.82114,                0.86244,                0.97788,                0.55673,                0.22044,                0.19699,                0.14885,                 1.2513,                 2.1032,                 1.2535,             0.00036307,             0.00036307,             0.00036307
                     53,                0.80894,                0.83993,                0.97461,                0.59187,                 0.1793,                0.19806,                0.14951,                 1.2073,                 2.0034,                 1.2138,             0.00034841,             0.00034841,             0.00034841
                     54,                0.82818,                0.83986,                0.97906,                 0.3335,                0.24213,                0.20134,                0.15042,                 1.2064,                 2.0805,                 1.2107,             0.00033374,             0.00033374,             0.00033374
                     55,                 0.7733,                0.78586,                0.96207,                0.60684,                0.19921,                0.19766,                0.14667,                  1.213,                  2.041,                 1.2129,             0.00031908,             0.00031908,             0.00031908
                     56,                0.77294,                0.78024,                0.95814,                0.60091,                0.23456,                0.20969,                0.15654,                 1.2142,                 1.9766,                 1.2173,             0.00030441,             0.00030441,             0.00030441
                     57,                0.80461,                0.78463,                0.96734,                0.32262,                0.24121,                0.22925,                0.17754,                 1.1873,                 1.9624,                 1.2175,             0.00028975,             0.00028975,             0.00028975
                     58,                0.76642,                0.74407,                0.95832,                0.60951,                0.20259,                0.20621,                0.15499,                 1.1928,                 2.0476,                 1.1968,             0.00027508,             0.00027508,             0.00027508
                     59,                0.75414,                0.72312,                0.95053,                0.56125,                0.22941,                0.19959,                0.14189,                 1.2075,                 2.0498,                 1.2038,             0.00026042,             0.00026042,             0.00026042
                     60,                0.76817,                0.71642,                0.95488,                0.42404,                0.19953,                0.20905,                 0.1547,                 1.2007,                 1.9804,                 1.2096,             0.00024575,             0.00024575,             0.00024575
                     61,                0.74759,                0.70828,                0.94378,                0.40181,                 0.2012,                 0.1907,                0.14668,                  1.202,                 2.0926,                 1.1879,             0.00023109,             0.00023109,             0.00023109
                     62,                0.74012,                0.70903,                0.94116,                0.60034,                0.19182,                0.18287,                0.13948,                 1.1777,                 2.0942,                 1.1978,             0.00021642,             0.00021642,             0.00021642
                     63,                0.75849,                0.70662,                0.95274,                0.56025,                0.19863,                0.19957,                0.14593,                 1.2024,                 2.1055,                 1.2297,             0.00020176,             0.00020176,             0.00020176
                     64,                0.72771,                0.65943,                0.93876,                0.67368,                0.18824,                0.21194,                0.16323,                 1.1946,                 2.0201,                 1.2149,             0.00018709,             0.00018709,             0.00018709
                     65,                0.74108,                0.67445,                0.93606,                0.38074,                0.23144,                0.21041,                0.15715,                 1.1964,                 2.0774,                 1.2065,             0.00017243,             0.00017243,             0.00017243
                     66,                 0.6715,                0.62161,                0.90137,                 0.3623,                0.21064,                0.19008,                0.14304,                 1.1835,                 2.1012,                 1.2045,             0.00015776,             0.00015776,             0.00015776
                     67,                0.66716,                0.58324,                0.89526,                0.41678,                0.21297,                0.20525,                 0.1585,                 1.1821,                 2.1317,                 1.2009,              0.0001431,              0.0001431,              0.0001431
                     68,                0.64154,                0.56553,                0.88106,                0.30675,                0.23508,                0.20888,                0.15639,                 1.1844,                 2.0744,                 1.2044,             0.00012843,             0.00012843,             0.00012843
                     69,                0.64622,                0.55545,                0.88675,                0.61955,                0.21389,                0.20843,                0.15298,                 1.1805,                 2.1044,                 1.2142,             0.00011377,             0.00011377,             0.00011377
                     70,                0.65491,                0.54118,                0.87678,                0.33163,                0.23533,                0.20464,                0.14903,                 1.1907,                 2.1373,                 1.2199,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     71,                0.63692,                0.52611,                0.88194,                0.31568,                0.21918,                0.19146,                0.14404,                 1.2001,                 2.1665,                 1.2181,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     72,                0.60331,                0.49252,                0.86567,                0.60273,                0.21312,                0.20288,                0.15349,                 1.1964,                 2.0973,                 1.2212,             6.9771e-05,             6.9771e-05,             6.9771e-05
                     73,                0.62864,                0.50348,                0.87296,                0.30248,                0.31945,                0.21692,                0.15962,                 1.1842,                 2.0713,                 1.2195,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     74,                0.62308,                0.51409,                0.88007,                0.31142,                0.28468,                0.21599,                0.16515,                 1.1941,                 2.0754,                 1.2247,              4.044e-05,              4.044e-05,              4.044e-05
                     75,                0.61498,                0.49195,                0.87077,                0.32379,                0.27865,                 0.2208,                0.16378,                 1.1889,                 2.0777,                 1.2166,             2.5775e-05,             2.5775e-05,             2.5775e-05
